Title,Trim,Location,Distance,MSRP,Price,Monthly Payment,VIN,Stock Number,Dealer,Dealer Phone,Dealer Address,Dealer Website,Listing URL
2025 Mitsubishi Eclipse Cross,LE S-AWC,"Green Brook, NJ",33 mi away,"$30,120","$27,299",$512/mo est.,JA4ATVAA5SZ003291,M252309,Liccardi Chrysler Dodge Ram,(908) 495-6209,"130 Us Highway 22, Green Brook, NJ 08812",http://www.liccardichryslerdodge.com/index.htm,https://www.cargurus.com/details/402793127?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=1&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4-gDsAJz2GMw1JCgA5nB49hwArj0V6MykAGzDdVBgDAC0w5MYUzj2zPZTdVhgOFMARlAYEMP7eMMBla1tYOgMqgBS5gAa1wikAGIAQgAWAFrMAKpIAPIAK30AHcADKya4gjzxUilZRIfTDACygOudXyeSAA
2025 Mazda CX-30,2.5 S AWD,"Springfield, MA",112 mi away,"$27,300","$27,300",$512/mo est.,3MVDMBAM9SM841476,M40175,Balise Mazda,(413) 500-0287,"733 East Columbus Avenue, Springfield, MA 01105",https://www.balisemazda.com/?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/418716502?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=2&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4GAAcAOwYAGxOzCQoAOZwePYcAK69FejMpI2NAJxQYAwAtI1TGNM49sz202NYYDjTAEZQGBCNB3iNAZVt7WDoDKoAUuYAGjcIpABiAEIAFgBazACqSAB5ABW+gA7gAZWQ3UEeeKkUrKJD6RoAWSBNzG+TyQA
2024 Mitsubishi Outlander,SE Black Edition FWD,"Quakertown, PA",80 mi away,"$36,300","$27,300",$516/mo est.,JA4J3VA80RZ071716,RZ071716,Quakertown Mitsubishi,(215) 709-8489,"840 S West End Blvd, Quakertown, PA 18951",http://www.quakertownmitsubishi.com/catcher.esl?vin=JA4J3VA80RZ071716&utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/428394606?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=3&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zAAc9gCcOABsWE0kKADmcHj2HACufRXozKRNTfVQYAwAtE1TGNM49sz20-VYYDjTAEZQGBBNB3hNAZXtHWDoDKoAUuYAGjcIpABiAEIAFgBazACqSAB5ABW+gA7gAZWQ3UEeeKkUrKJD6JoAWSBN3q+TyQA
2025 Kia K4,GT-Line FWD,"Swansea, MA",154 mi away,"$29,060","$27,310",$512/mo est.,3KPFW4DEXSE242214,16580K,,,,,https://www.cargurus.com/details/435315617?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=4&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4jvYYeABsGADsJCgA5nB49hwArj0V6Myk9fUAnFBgDAC09ZMYU9XM9lOjWGA4UwBGUBgQ9XsNAZWtbWDoDKoAUuYAGpcIpABiAEIAFgBazACqSADyAFb6ADuABlZJcgR54qRSsokPp6gBZf6XUb5PJAA
2025 Honda Civic Hatchback,Sport FWD,"Norwood, MA",171 mi away,"$28,600","$27,311",$512/mo est.,19XFL2H88SE017100,501202,Nucar Honda of Norwood,(781) 412-3578,"279 Boston Providence Tpke, Norwood, MA 02062",https://www.nucarhondanorwood.com?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/408349385?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=5&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4WAAc9jgAnPY1gSAoAOZwePYcAK69FejMpABsIw1QYAwAtCNTGNM49sz20w1YYDjTAEZQGBAjB3gjAZUkHWDoDKoAUuYAGjcIpABiAEIAFgBazACqSAB5ABW+gA7gAZWQ3UEeeKkUrKJD6EYAWSBNwa+TyQA
2025 Hyundai Elantra Hybrid,Limited FWD,"Towson, MD",172 mi away,"$31,460","$27,311",$512/mo est.,KMHLN4DJ3SU176623,N5176623,Heritage Hyundai Towson,(443) 247-0523,"801 York Road, Towson, MD 21204",http://www.heritagehyundaibaltimore.com/catcher.esl?vin=KMHLN4DJ3SU176623&utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/424962327?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=6&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zDgAnABszPbMAOwkKADmcHj2HACufRXozKT19bVQYAwAtPVTGNM4zfbTtVhgONMARlAYEPX7eI14le0dYOgMqgBS5gAa1wikAGIAQgAWAFrMAKpIAPIAK30AHcADKya4gjzxUilZRIfT1ACygOutXyeSAA
2025 Hyundai Elantra Hybrid,Limited FWD,"Towson, MD",172 mi away,"$31,460","$27,311",$512/mo est.,KMHLN4DJ5SU176624,N5176624,Heritage Hyundai Towson,(443) 247-0523,"801 York Road, Towson, MD 21204",http://www.heritagehyundaibaltimore.com/catcher.esl?vin=KMHLN4DJ5SU176624&utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/424962332?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=7&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zDgAnABszPb2zCQoAOZwePYcAK69FejMpPX1tVBgDAC09ZMYUzgt9lO1WGA4UwBGUBgQ9Xt4jXiVbe1g6AyqAFLmABpXCKQAYgBCABYAWswAqkgA8gArfQAdwAMrIrsCPPFSKVlEh9PUALIAq61fJ5IA
2025 Hyundai Sonata,SE FWD,"Enfield, CT",107 mi away,"$28,340","$27,315",$512/mo est.,KMHL24JAXSA460006,SA460006,,,,,https://www.cargurus.com/details/407237926?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=8&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4WADszPY1AJzMAGwkKADmcHj2HACufRXozKQtLY1QYAwAtC1TGNM49vXTjVhgONMARlAYEC37eC0Ble0dYOgMqgBS5gAa1wikAGIAQgAWAFrMAKpIAPIAK30AHcADKya4gjzxUilZRIfQtACygOujXyeSAA
2025 Nissan Altima,2.5 SV AWD,"Bloomfield, NJ",14 mi away,"$32,160","$27,320",$512/mo est.,1N4BL4DW0SN414641,N254287,Lynnes Nissan East,(201) 719-5657,"318 Bloomfield Ave, Bloomfield, NJ 07003",https://www.lynnesnissan.com/inventory/-1N4BL4DW0SN414641?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/426691204?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=9&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zABsNQCcGKw4JCgA5nB49hwArj0V6MykdfVQYAwAtDXjGBM49sz2E-VYYDgTAEZQGBA1u3g1AZWtbWDoDKoAUuYAGpcIpABiAEIAFgBazACqSADyAFb6ADuABlZJcgR54qRSsokPoagBZf6Xer5PJAA
2025 Kia K4,GT-Line FWD,"Yonkers, NY",11 mi away,"$28,575","$27,325",$512/mo est.,3KPFW4DE4SE187243,KY2060,Yonkers Kia,(914) 344-5395,"1850 Central Park Ave, Yonkers, NY 10710",https://www.yonkerskia.com?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/426446334?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=10&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zABsODg19vY4JCgA5nB49hwArj0V6MykNTUAnFBgDAC0NZMYUzj2zPZTo1hgOFMARlAYEDX7eDUBla1tYOgMqgBS5gAa1wikAGIAQgAWAFrMAKpIAPIAK30AHcADKya4gjzxUilZRIfQ1ACygOuo3yeSAA
