Title,Trim,Location,Distance,MSRP,Price,Monthly Payment,Source File
2025 Mitsubishi Eclipse Cross,LE S-AWC,"Green Brook, NJ",33 mi away,"$30,120","$27,299",$512/mo est.,New Cars (1).mhtml
2025 Mazda CX-30,2.5 S AWD,"Springfield, MA",112 mi away,"$27,300","$27,300",$512/mo est.,New Cars (1).mhtml
2024 Mitsubishi Outlander,SE Black Edition FWD,"Quakertown, PA",80 mi away,"$36,300","$27,300",$516/mo est.,New Cars (1).mhtml
2025 Kia K4,GT-Line FWD,"Swansea, MA",154 mi away,"$29,060","$27,310",$512/mo est.,New Cars (1).mhtml
2025 Honda Civic Hatchback,Sport FWD,"Norwood, MA",171 mi away,"$28,600","$27,311",$512/mo est.,New Cars (1).mhtml
2025 Hyundai Elantra Hybrid,Limited FWD,"Towson, MD",172 mi away,"$31,460","$27,311",$512/mo est.,New Cars (1).mhtml
2025 Hyundai Elantra Hybrid,Limited FWD,"Towson, MD",172 mi away,"$31,460","$27,311",$512/mo est.,New Cars (1).mhtml
2025 Hyundai Sonata,SE FWD,"Enfield, CT",107 mi away,"$28,340","$27,315",$512/mo est.,New Cars (1).mhtml
2025 Nissan Altima,2.5 SV AWD,"Bloomfield, NJ",14 mi away,"$32,160","$27,320",$512/mo est.,New Cars (1).mhtml
2025 Kia K4,GT-Line FWD,"Yonkers, NY",11 mi away,"$28,575","$27,325",$512/mo est.,New Cars (1).mhtml
2025 Mazda CX-30,2.5 S AWD,"Springfield, MA",112 mi away,"$27,330","$27,330",$512/mo est.,New Cars (1).mhtml
2025 Nissan Sentra,SR FWD,"Westbury, NY",19 mi away,"$29,780","$27,333",$512/mo est.,New Cars (1).mhtml
2025 Volkswagen Jetta,SE FWD,"Paramus, NJ",10 mi away,"$27,339","$27,339",$512/mo est.,New Cars (1).mhtml
2025 Toyota Corolla,SE FWD,"Yonkers, NY",11 mi away,"$27,340","$27,340",$513/mo est.,New Cars (1).mhtml
2025 Nissan Sentra,SR FWD,"Blackwood, NJ",95 mi away,"$29,340","$27,340",$513/mo est.,New Cars (1).mhtml
2024 Hyundai Kona,SEL FWD,"Valley Stream, NY",15 mi away,"$28,239","$27,355",$517/mo est.,New Cars (1).mhtml
2025 Nissan Kicks,SR AWD,"Medford, MA",182 mi away,"$31,360","$27,360",$513/mo est.,New Cars (1).mhtml
2025 Nissan Kicks,SV AWD,"Ardmore, PA",91 mi away,"$27,360","$27,360",$513/mo est.,New Cars (1).mhtml
2024 Mitsubishi Outlander Sport,ES AWC,"Wilmington, MA",185 mi away,"$27,365","$27,365",$517/mo est.,New Cars (1).mhtml
2025 Hyundai Sonata,SE FWD,"Philadelphia, PA",76 mi away,"$28,405","$27,370",$513/mo est.,New Cars (1).mhtml
2025 Mazda MAZDA3,2.5 S Preferred Sedan FWD,"Yonkers, NY",9 mi away,,"$27,385",$513/mo est.,New Cars (1).mhtml
2025 Nissan Altima,2.5 SV FWD,"Blauvelt, NY",18 mi away,"$32,305","$27,386",$513/mo est.,New Cars (1).mhtml
2025 Volkswagen Tiguan,S 4Motion,"Vernon, CT",101 mi away,"$33,665","$28,165",$528/mo est.,New Cars (10).mhtml
2025 Subaru Impreza,Sport AWD,"Schenectady, NY",141 mi away,"$28,169","$28,169",$528/mo est.,New Cars (10).mhtml
2025 Hyundai Elantra,Limited FWD,"Schenectady, NY",135 mi away,"$29,050","$28,179",$528/mo est.,New Cars (10).mhtml
2025 Hyundai Elantra,Limited FWD,"Schenectady, NY",135 mi away,"$29,050","$28,179",$528/mo est.,New Cars (10).mhtml
2025 Nissan Altima,2.5 SR FWD,"Totowa, NJ",17 mi away,"$31,490","$28,184",$528/mo est.,New Cars (10).mhtml
2025 Buick Envista,Sport Touring FWD,"Woodbury, NJ",95 mi away,"$28,185","$28,185",$528/mo est.,New Cars (10).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Mechanicsburg, PA",167 mi away,"$33,690","$28,190",$528/mo est.,New Cars (10).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Baltimore, MD",173 mi away,"$33,385","$28,192",$528/mo est.,New Cars (10).mhtml
2025 Nissan Kicks,SR AWD,"Raynham, MA",168 mi away,"$30,540","$28,194",$529/mo est.,New Cars (10).mhtml
2025 Nissan Kicks,SR AWD,"Raynham, MA",168 mi away,"$30,540","$28,194",$529/mo est.,New Cars (10).mhtml
2025 Volkswagen Jetta,SE FWD,"Pompton Plains, NJ",22 mi away,"$28,944","$28,194",$529/mo est.,New Cars (10).mhtml
2025 Nissan Altima,2.5 SV FWD,"Toms River, NJ",61 mi away,"$29,570","$28,202",$529/mo est.,New Cars (10).mhtml
2025 Mitsubishi Outlander Sport,ES AWC,"Brookfield, CT",52 mi away,"$32,060","$28,213",$529/mo est.,New Cars (10).mhtml
2025 Hyundai Elantra,Limited FWD,"Schenectady, NY",135 mi away,"$29,090","$28,217",$529/mo est.,New Cars (10).mhtml
2024 Ford Maverick,XL SuperCrew AWD,"Philadelphia, PA",80 mi away,"$28,230","$28,230",$533/mo est.,New Cars (10).mhtml
2025 Mitsubishi Outlander Sport,Trail Edition AWC,"East Providence, RI",150 mi away,,"$28,233",$529/mo est.,New Cars (10).mhtml
2025 Subaru Legacy,Premium AWD,"Philadelphia, PA",91 mi away,"$32,242","$28,234",$529/mo est.,New Cars (10).mhtml
2025 Subaru Legacy,Premium AWD,"Philadelphia, PA",91 mi away,"$32,242","$28,234",$529/mo est.,New Cars (10).mhtml
2024 Dodge Hornet,R/T Plus AWD,"Fairfield, CT",43 mi away,"$52,430","$28,237",$533/mo est.,New Cars (10).mhtml
2025 Mazda CX-5,2.5 S AWD,"Lenox, MA",115 mi away,"$30,740","$28,240",$529/mo est.,New Cars (10).mhtml
2025 Hyundai Elantra,N Line FWD,"Milford, CT",51 mi away,"$30,740","$28,240",$529/mo est.,New Cars (10).mhtml
2025 Honda HR-V,LX AWD,"Tarrytown, NY",17 mi away,,"$28,250",$530/mo est.,New Cars (10).mhtml
2025 Hyundai Elantra,N Line FWD,"Milford, CT",51 mi away,"$30,750","$28,250",$530/mo est.,New Cars (11).mhtml
2025 Ford Maverick,XL SuperCrew AWD,"Vauxhall, NJ",21 mi away,"$31,505","$28,255",$530/mo est.,New Cars (11).mhtml
2025 Nissan Kicks,SR AWD,"Butler, NJ",26 mi away,"$30,330","$28,258",$530/mo est.,New Cars (11).mhtml
2025 Kia K4,GT-Line FWD,"West Islip, NY",33 mi away,"$28,260","$28,260",$530/mo est.,New Cars (11).mhtml
2025 Hyundai Sonata,SE FWD,"Enfield, CT",107 mi away,"$29,255","$28,269",$530/mo est.,New Cars (11).mhtml
2025 Subaru Legacy,Premium AWD,"Philadelphia, PA",91 mi away,"$32,309","$28,278",$530/mo est.,New Cars (11).mhtml
2025 Nissan Altima,2.5 SV AWD,"Blackwood, NJ",95 mi away,"$32,280","$28,280",$530/mo est.,New Cars (11).mhtml
2025 Honda Accord,LX FWD,"North Plainfield, NJ",30 mi away,,"$28,295",$530/mo est.,New Cars (11).mhtml
2025 Honda HR-V,LX AWD,"Huntington, NY",29 mi away,"$28,295","$28,295",$530/mo est.,New Cars (11).mhtml
2025 Honda HR-V,LX AWD,"Lebanon, PA",137 mi away,"$28,295","$28,295",$530/mo est.,New Cars (11).mhtml
2025 Honda HR-V,LX AWD,"Lebanon, PA",137 mi away,"$28,295","$28,295",$530/mo est.,New Cars (11).mhtml
2025 Honda HR-V,LX AWD,"Kingston, NY",79 mi away,"$28,295","$28,295",$530/mo est.,New Cars (11).mhtml
2025 Honda HR-V,LX AWD,"Kingston, NY",79 mi away,"$28,295","$28,295",$530/mo est.,New Cars (11).mhtml
2025 Honda HR-V,LX AWD,"Kingston, NY",79 mi away,,"$28,295",$530/mo est.,New Cars (11).mhtml
2025 Hyundai Elantra,Limited FWD,"Hicksville, NY",22 mi away,,"$28,301",$531/mo est.,New Cars (11).mhtml
2025 Hyundai Elantra,Limited FWD,"Hicksville, NY",22 mi away,,"$28,301",$531/mo est.,New Cars (11).mhtml
2025 Nissan Sentra,SR FWD,"St James, NY",41 mi away,"$29,625","$28,302",$531/mo est.,New Cars (11).mhtml
2025 Nissan Sentra,SR FWD,"St James, NY",41 mi away,"$29,625","$28,302",$531/mo est.,New Cars (11).mhtml
2025 Nissan Sentra,SR FWD,"St James, NY",41 mi away,"$29,625","$28,302",$531/mo est.,New Cars (11).mhtml
2025 Nissan Sentra,SR FWD,"St James, NY",41 mi away,"$29,625","$28,302",$531/mo est.,New Cars (11).mhtml
2025 Nissan Sentra,SR FWD,"St James, NY",41 mi away,"$29,625","$28,302",$531/mo est.,New Cars (11).mhtml
2025 Nissan Sentra,SR FWD,"St James, NY",41 mi away,"$29,625","$28,302",$531/mo est.,New Cars (11).mhtml
2025 Honda Accord,LX FWD,"Hamburg, PA",110 mi away,"$29,445","$28,307",$531/mo est.,New Cars (12).mhtml
